Gun,Gunluk Test,Gunluk Onayli Vaka,Gunluk Olum,Toplam Vaka,Toplam Olum,Yogun Bakim,Entube,Iyilesen,Gunluk Vaka / Test Orani
3/13/2020,50,5,0,4,0,0,0,0,0.1
3/14/2020,,6,0,1,0,,,,
3/15/2020,,12,0,18,0,,,,
3/16/2020,,29,0,49,0,,,,
3/17/2020,,51,1,98,1,,,,
3/18/2020,,93,1,191,2,,,,
3/19/2020,1981,168,2,359,4,,,,0.08
3/20/2020,3656,311,5,670,9,,,,0.09
3/21/2020,2970,277,12,947,21,,,,0.09
3/22/2020,1738,289,9,1236,30,,,,0.09
3/23/2020,3672,293,7,1529,37,,,,0.09
3/24/2020,3952,343,7,1872,44,,,,0.09
3/25/2020,5035,561,15,2433,59,,,26,0.09
3/26/2020,7286,1196,16,3629,75,,,,0.09
3/27/2020,7533,2069,17,5698,92,344,241,42,0.09
3/28/2020,7641,1704,16,7402,108,445,309,70,0.09
3/29/2020,9982,1815,23,9217,131,568,394,105,0.09
3/30/2020,11535,1610,37,10827,168,725,523,162,0.09
3/31/2020,15422,2704,46,13531,214,847,622,243,0.09
4/1/2020,14396,2148,63,15679,277,979,692,333,0.09
4/2/2020,18135,2456,79,18135,356,1101,783,415,0.09
